region,sphere,field,area
streaming,rain cats and dogs,swarm,teem
firms,parties,houses,steadiness
trend,grade,of course,class
implementations,execution,effectuation,carrying out
innovations,designs,inventions,conceptions
center,heart,midway,halfway
customers,nodes,clients,guests
language,poem,lyric,word
green,area,parking lot,park
goal,stop,finish,cease
eighth,one-eighth,octonary,octet
outcome,consequence,impression,result
champion,leading,wizard,sensation
youth,early days,young person,youthfulness
international,outside,external,extraneous
online,behaviour,contrast,describe
freedom,exemption,granting,immunity
force,energy,button,fight
questions,interviews,behaviours,doubts
ending,stop,finish,cease
lark,frolic,run around,cavort
marriage,married couple,man and wife,pair
misconceptions,misconception,realize,empathize
airport,aerodrome,drome,air
ferns,tails,docks,tracks
square,agora,public square,solid
passengers,people,riders,persons
domestic,domesticated,servant,help
weekend,week,time,count
kilometers,calculations,manual,klicks
acquisition,science,skill,acquirement
seekers,questers,searchers,persons
investment,investing,investiture,induction
properties,home,identify,lay
history,report,explanation,describe
profit,benefit,gain,do good
numbers,count,amount,total
meeting,assemble,see,cope with
vision,imagination,imagery,resource
criminal,turn,outlaw,bend
achievements,accomplishments,skills,acquirement
alternative,prime,selection,select
poverty,poorness,impoverishment,badness
inequality,comparison,equation,below
infected,septic,tainted,corrupted
virus,computer virus,damage,hurt
resources,imagination,plenty,resourcefulness
assistance,assistant,assist,serving
memories,remembering,stores,retentiveness
