tails,docks,tracks,tourists,decorations,ferns,plays
square,agora,public square,solid,security,offering,winter
passengers,people,riders,persons,tourists,persons,terrorists
natural,domesticated,servant,help,current,domestic,animal
week,time,weekend,count,million,holiday,reserve
kilometers,calculations,manual,klicks,celebrations,years,flights
acquisition,science,property,skill,acquirement,value,gain
seekers,questers,searchers,persons,investors,employees,affiliates
investing,investiture,induction,trademark,property,investment,value
properties,home,identify,lay,indices,accounts,times
history,report,explanation,describe,story,increasement,government
profit,benefit,gain,do good,money,trademark
count,amount,total,minutes,calculation,numbers,times
meeting,assemble,see,cope with,expression,government,experience
vision,imagination,imagery,resource,prospect,fight,community
turn,outlaw,bend,senior,accused,criminal,federal
achievements,accomplishments,skills,acquirement,services,attacks,preferences
alternative,prime,selection,select,million,choice,space
poverty,poorness,impoverishment,badness,police,hard,experience
inequality,security,equation,below,comparison,fight,condition
changed,broken,infected,tainted,septic,corrupted,bad
computer virus,damage,virus,hurt,result,sweet,infection
resources,imagination,plenty,resourcefulness,calories,power,symptoms
assistance,assistant,assist,serving,training,relationship
issues,remembering,stores,retentiveness,calories,brain,memories
