Category,Technology,Travel,Sports,Finance,Entertainment,World,Fashion,Health
loch,0,1,0,0,0,0,0,0
purposes,0,1,0,0,0,1,0,0
pieces,1,1,2,0,0,0,3,0
pieced,0,1,0,0,0,0,0,0
woodlands,0,1,0,0,0,0,0,0
blvd,0,1,0,0,0,0,0,0
educational,0,1,0,0,0,0,0,0
wares,0,1,0,0,0,0,0,0
delay,0,1,0,0,0,0,0,2
animal,0,1,0,0,0,1,0,0
blocks,0,1,2,0,0,1,1,1
hoopeston,0,1,0,0,0,0,0,0
await,0,1,1,0,0,0,0,0
weighed,1,1,1,0,0,0,0,0
marrow,0,1,0,0,0,0,0,0
hawk,0,1,0,0,0,0,0,0
hawn,0,1,0,0,0,0,0,0
nance,0,1,0,0,0,0,0,0
serrano,0,1,0,0,0,0,0,0
realizes,0,1,0,0,0,0,0,0
classy,0,1,0,0,0,0,0,0
watermelon,0,1,0,0,0,0,0,0
counted,0,1,1,0,0,0,0,0
thigh,0,1,0,0,0,0,0,0
salivating,0,1,0,0,0,0,0,0
disinfectant,0,1,0,0,0,0,0,0
vietnamcambodia,0,1,0,0,0,0,0,0
snafus,0,1,0,0,0,0,0,0
jodi,0,1,0,0,0,0,0,0
usersubmitted,0,1,0,0,0,0,0,0
thieves,0,1,0,0,0,0,0,0
degrees,0,1,0,0,0,0,1,0
accompaniments,0,1,0,0,0,0,0,0
communication,0,1,1,0,0,0,0,0
nada,0,1,0,0,0,0,0,0
dock,0,1,0,0,1,0,0,0
cage,0,1,0,0,0,0,0,0
sniffing,0,1,0,0,0,0,0,0
denzel,0,1,0,0,0,0,0,0
shortage,0,1,2,0,0,0,0,0
glasses,0,1,0,0,0,0,0,0
watery,0,1,0,0,0,0,0,0
muchneeded,0,1,1,0,0,0,0,1
books,2,1,1,0,0,0,1,1
agriculture,0,1,0,0,0,0,0,0
shannon,0,1,0,0,0,0,0,0
reload,0,1,0,0,0,0,0,0
boutique,0,1,0,0,0,0,0,0
microscope,0,1,1,0,0,0,0,0
waters,0,1,0,0,0,0,0,0
manaus,0,1,0,0,0,0,0,0
durban,0,1,0,0,0,0,0,0
unwieldy,0,1,0,0,0,0,0,0
graze,0,1,0,0,0,0,0,0
bothered,0,1,0,0,0,0,0,0
steering,0,1,0,0,0,0,0,0
mainland,0,1,0,0,0,0,0,0
dubbed,0,1,0,0,0,1,0,0
dvd,0,1,0,0,0,0,0,0
chilly,0,1,0,0,0,0,0,0
length,0,1,1,0,0,0,0,1
hawaiian,0,1,0,0,0,0,0,0
serenity,0,1,0,0,0,0,0,0
chills,0,1,0,0,0,0,0,0
anita,0,1,0,0,0,0,0,1
owned,1,1,1,0,0,1,0,0
autographed,0,1,0,0,0,0,0,0
blows,0,1,0,0,0,0,0,0
sharon,0,1,0,0,0,0,0,0
cnngo,0,1,0,0,0,0,0,0
sergeant,0,1,0,0,0,0,0,0
citymountain,0,1,0,0,0,0,0,0
phraya,0,1,0,0,0,0,0,0
songwriters,0,1,0,0,0,0,0,0
evacuated,0,1,0,0,0,1,0,0
nicknamesake,0,1,0,0,0,0,0,0
colleagues,0,1,0,0,0,3,1,0
splayed,0,1,0,0,0,0,0,0
extraordinarily,0,1,0,0,0,0,0,0
appealing,0,1,0,0,0,1,0,0
briefing,1,1,0,0,0,0,0,0
shrinks,0,1,0,0,0,0,0,0
ipanema,0,1,0,0,0,0,0,0
copacabana,0,1,0,0,0,0,0,0
viewer,0,1,0,0,0,0,0,0
gently,0,1,0,0,0,0,0,0
spelled,0,1,0,0,0,0,0,0
liner,0,1,0,0,0,0,0,0
gentle,0,1,0,0,0,0,0,0
fiveday,0,1,0,0,0,0,0,0
waffles,0,1,0,0,0,0,0,0
korean,1,1,0,0,0,2,1,0
worldwide,0,1,0,0,1,3,2,3
shrinkwrapped,0,1,0,0,0,0,0,0
courtesy,0,1,5,0,0,0,0,1
visa,0,1,0,0,0,0,0,1
device,1,1,16,0,0,0,0,0
manon,0,1,0,0,0,0,0,0
segment,0,1,0,0,0,0,0,0
socializing,0,1,0,0,0,0,0,0
parisian,0,1,0,0,0,0,0,0
bred,0,1,0,0,0,0,0,0
stronger,0,1,0,0,0,0,0,1
mustache,0,1,0,0,0,0,0,0
wounded,0,1,0,0,0,2,0,0
rainbows,0,1,0,0,0,0,0,0
centralized,0,1,0,0,0,0,0,0
bikes,0,1,0,0,0,0,0,0
lloyd,0,1,0,0,0,0,0,0
rough,0,1,0,0,0,1,2,0
pause,0,1,0,0,0,0,0,0
hops,0,1,0,0,0,0,0,0
planted,0,1,0,0,0,2,0,0
burnisher,0,1,0,0,0,0,0,0
maggots,0,1,0,0,0,0,0,0
flinch,0,1,0,0,0,0,0,0
exchanged,0,1,0,0,0,0,0,0
insight,0,1,0,0,0,0,0,1
pets,0,1,0,0,0,0,0,0
listened,0,1,1,0,0,0,0,0
exchanges,0,1,0,0,0,0,0,0
strollers,0,1,0,0,0,0,0,0
irc,0,1,0,0,0,0,0,0
mancationing,0,1,0,0,0,0,0,0
reid,0,1,0,0,0,0,0,0
atrisk,0,1,0,0,0,0,0,0
stuff,0,1,2,0,0,2,1,1
ohio,0,1,1,0,0,0,1,0
moths,0,1,0,0,0,0,0,0
reykjavik,0,1,0,0,0,0,0,0
catastrophic,0,1,0,0,0,0,1,0
packet,0,1,0,0,0,0,0,1
edition,0,1,0,0,0,0,0,0
gaskin,0,1,0,0,0,0,0,0
shauna,0,1,0,0,0,0,0,0
email,1,1,0,0,0,0,0,1
wiry,0,1,0,0,0,0,0,0
ends,0,1,2,0,0,0,0,2
explosive,0,1,1,0,0,3,0,0
butts,0,1,0,0,0,0,0,0
courtyard,0,1,0,0,0,0,0,0
shanghai,0,1,0,0,0,0,0,0
weary,0,1,0,0,0,0,0,0
figured,0,1,1,0,0,0,0,1
drum,0,1,0,0,0,0,0,0
invited,0,1,0,0,0,0,1,1
ramp,0,1,0,0,0,0,0,0
goldie,0,1,0,0,0,0,0,0
honey,0,1,0,0,0,0,0,0
marta,0,1,0,0,0,0,0,0
volley,0,1,0,0,0,0,0,0
snowfall,0,1,0,0,0,0,0,0
blitzed,0,1,1,0,0,0,0,0
oakland,0,1,2,0,0,0,0,0
ct,0,1,0,0,0,0,0,0
hawkins,0,1,0,0,0,0,0,0
flowered,0,1,0,0,0,0,0,0
cbd,0,1,0,0,0,0,0,0
leads,0,1,3,0,0,1,0,0
farah,0,1,0,0,0,0,0,0
louisiana,0,1,0,0,0,0,0,0
selina,0,1,0,0,0,0,0,0
macbeth,0,1,0,0,0,0,0,0
puerto,0,1,0,0,0,0,0,0
spain,2,1,0,0,0,0,0,0
runway,0,1,0,0,0,0,1,0
maui,0,1,0,0,0,0,0,0
dad,0,1,0,0,0,0,0,1
tattoo,0,1,0,0,0,0,0,0
terrorist,0,1,0,0,0,2,0,0
oldfashioned,0,1,0,0,0,0,1,0
spends,0,1,0,0,0,0,0,1
romance,0,1,0,0,0,0,0,0
vocabulary,0,1,0,0,0,0,0,0
planned,1,1,1,0,0,1,0,0
ball,0,1,8,0,0,0,0,0
columbia,0,1,0,0,0,0,0,3
birkmire,0,1,0,0,0,0,0,0
mosaic,0,1,0,0,0,0,0,0
command,0,1,1,0,0,1,0,0
mastic,0,1,0,0,0,0,0,0
newest,0,1,0,0,0,0,0,0
kiss,0,1,0,0,0,0,0,1
moments,1,1,1,0,1,1,0,1
footbridge,0,1,0,0,0,0,0,0
postflight,0,1,0,0,0,0,0,0
clocks,0,1,0,0,0,0,1,0
hauled,0,1,0,0,0,0,0,0
glue,0,1,0,0,0,0,1,0
wee,0,1,0,0,0,0,0,0
drawback,0,1,0,0,0,0,0,0
cosmetics,0,1,0,0,0,2,0,1
wet,0,1,0,0,0,0,1,0
checking,0,1,0,0,0,0,0,0
monique,0,1,0,0,0,0,0,0
whispers,0,1,0,0,0,0,0,0
belgium,0,1,0,0,0,1,0,0
supping,0,1,0,0,0,0,0,0
pies,0,1,0,0,0,0,0,0
crisp,0,1,1,0,0,0,0,0
sengchanh,0,1,0,0,0,0,0,0
hartsfieldjackson,0,1,0,0,0,0,0,0
thrombosis,0,1,0,0,0,0,0,0
garage,0,1,0,0,0,0,0,0
scenic,0,1,0,0,0,0,0,0
gaining,0,1,0,0,0,0,0,0
redtailed,0,1,0,0,0,0,0,0
thief,0,1,0,0,0,0,0,0
daylight,0,1,0,0,0,0,0,0
transport,1,1,0,0,0,3,0,0
avoid,0,1,1,0,0,0,1,1
farewells,0,1,0,0,0,0,0,0
fedex,0,1,0,0,0,0,0,0
mementos,0,1,0,0,0,0,0,0
saucepan,0,1,0,0,0,0,0,0
slower,0,1,0,0,0,0,0,0
blowing,0,1,1,0,0,0,1,0
schedule,0,1,1,0,0,0,0,1
peppa,0,1,0,0,0,0,0,0
zips,0,1,0,0,0,0,0,0
counties,1,1,0,0,0,0,0,0
stage,0,1,1,0,0,0,2,2
sister,0,1,0,0,0,1,0,1
firsttime,0,1,0,0,0,0,1,0
seeds,0,1,0,0,0,0,0,0
armisen,0,1,0,0,0,0,0,0
concession,0,1,0,0,0,0,0,0
documentary,0,1,0,0,0,0,0,0
letters,0,1,0,0,1,2,1,0
pussy,0,1,0,0,0,0,0,0
hubert,0,1,0,0,0,0,0,0
charities,0,1,1,0,0,0,0,0
mere,0,1,1,0,0,0,1,0
oneofakind,0,1,1,0,0,0,0,0
startled,0,1,0,0,0,0,0,0
function,0,1,2,0,0,0,3,1
fiscal,0,1,0,0,0,1,0,0
count,0,1,3,0,0,1,0,2
flagstaff,0,1,0,0,0,0,0,0
baptist,0,1,0,0,0,0,0,0
roam,0,1,0,0,0,0,0,0
excitement,0,1,1,0,0,0,0,0
tosses,0,1,0,0,0,0,0,0
ropedoff,0,1,0,0,0,0,0,0
bearing,0,1,1,0,0,1,0,0
coiffed,0,1,0,0,0,0,0,0
contribute,0,1,0,0,0,0,0,1
replica,0,1,0,0,0,0,1,0
planting,0,1,0,0,0,0,0,0
compared,0,1,2,0,0,0,0,1
forests,0,1,0,0,0,0,0,1
details,2,1,0,0,0,1,0,2
behold,0,1,0,0,0,0,0,0
mound,0,1,1,0,0,0,0,0
repeat,0,1,0,0,0,0,0,0
decadesold,0,1,0,0,0,0,0,0
activeduty,0,1,0,0,0,0,0,0
gehrydesigned,0,1,0,0,0,0,0,0
rule,1,1,0,0,0,0,2,1
lift,0,1,0,0,0,0,0,0
rural,0,1,0,0,0,1,0,0
ticketed,0,1,0,0,0,0,0,0
copy,0,1,0,0,0,0,0,0
embolism,0,1,0,0,0,0,0,0
stinky,0,1,0,0,0,0,0,0
bike,0,1,1,0,0,0,0,1
oriental,0,1,0,0,0,0,0,0
diverted,0,1,0,0,0,0,0,0
compassion,0,1,0,0,0,0,0,0
gobbles,0,1,0,0,0,0,0,0
blanket,0,1,0,0,0,0,0,0
closeup,0,1,0,0,0,0,0,0
mostvisited,0,1,0,0,0,0,0,0
gaelic,0,1,0,0,0,0,0,0
disc,0,1,0,0,0,0,0,0
roldan,0,1,0,0,0,0,0,0
chew,0,1,0,0,0,0,0,0
diverting,0,1,0,0,0,0,0,0
phones,2,1,1,0,0,0,0,0
bubbling,0,1,0,0,0,0,0,0
rigorous,1,1,0,0,0,0,0,1
subcontracts,0,1,0,0,0,0,0,0
paulette,0,1,0,0,0,0,0,0
rockies,0,1,1,0,0,0,0,0
isles,0,1,0,0,0,0,0,0
glaciers,0,1,0,0,0,0,0,0
majesties,0,1,0,0,0,0,0,0
churches,0,1,0,0,0,0,0,0
officially,0,1,0,0,0,0,0,0
consisting,0,1,0,0,0,0,0,0
sinks,0,1,0,0,0,0,0,0
festive,0,1,0,0,0,0,0,0
bangkok,1,1,0,0,0,0,0,0
protection,3,1,0,0,0,0,1,3
pursuit,0,1,0,0,0,0,0,0
celebration,0,1,0,0,0,1,0,0
items,1,1,0,0,0,0,0,1
employees,1,1,0,0,0,0,1,1
dusty,0,1,0,0,0,0,0,0
aka,0,1,0,0,0,0,0,0
glittering,0,1,0,0,0,0,0,1
secure,1,1,1,0,0,0,0,0
thrust,0,1,0,0,0,0,1,0
opportunities,1,1,4,0,0,0,0,1
atrium,0,1,0,0,0,0,0,0
bra,0,1,0,0,0,0,0,0
cana,0,1,0,0,0,0,0,0
permeates,0,1,0,0,0,0,0,0
zeroes,0,1,0,0,0,0,0,0
vacuums,0,1,0,0,0,0,0,0
award,0,1,2,0,3,2,0,0
aware,0,1,0,0,0,0,0,1
separates,0,1,0,0,0,0,1,0
emeritus,0,1,0,0,0,0,0,0
unraveled,0,1,1,0,0,0,0,0
wore,0,1,0,0,0,0,0,0
foxhole,0,1,0,0,0,0,0,0
eclipse,0,1,0,0,0,0,0,0
worn,0,1,0,0,0,0,0,0
leakfree,0,1,0,0,0,0,0,0
cuddle,0,1,0,0,0,0,0,0
mechanic,0,1,0,0,0,0,0,0
bennett,0,1,0,0,0,0,0,0
grindz,0,1,0,0,0,0,0,0
cantonese,0,1,0,0,0,0,0,0
validated,0,1,0,0,0,0,0,1
scales,0,1,0,0,0,0,0,0
colosseum,0,1,0,0,0,0,0,0
carriers,0,1,0,0,0,0,0,0
decayedlooking,0,1,0,0,0,0,0,0
keauhou,0,1,0,0,0,0,0,0
lam,0,1,0,0,0,0,0,0
fever,0,1,0,0,0,0,0,1
stefano,0,1,0,0,0,0,0,0
vera,0,1,0,0,0,0,0,0
chilled,0,1,0,0,0,0,0,0
homeowners,0,1,0,0,0,0,0,0
greet,0,1,0,0,0,0,0,0
shucks,0,1,0,0,0,0,0,0
ambulance,0,1,0,0,0,0,0,0
devote,0,1,0,0,0,0,0,0
neonlit,0,1,0,0,0,0,0,0
missionary,0,1,0,0,0,0,0,0
tricked,0,1,0,0,0,0,0,0
frequency,0,1,0,0,0,0,0,0
somewhere,0,1,4,0,0,0,0,0
christie,0,1,0,0,0,0,0,0
bluehour,0,1,0,0,0,0,0,0
ballman,0,1,0,0,0,0,0,0
understated,0,1,0,0,0,0,0,0
versus,0,1,0,0,0,0,0,1
ferrills,0,1,0,0,0,0,0,0
band,0,1,1,0,1,0,0,0
pillbox,0,1,0,0,0,0,0,0
jesus,0,1,0,0,0,0,0,0
backgrounds,0,1,0,0,0,0,0,0
worldclass,0,1,1,0,0,1,0,0
feeds,0,1,0,0,0,0,0,0
carlos,0,1,3,0,0,0,0,0
zooms,0,1,0,0,0,0,0,0
voiceover,0,1,0,0,0,0,0,0
crimes,0,1,0,0,0,2,0,0
sled,0,1,0,0,0,0,0,0
nigerian,0,1,0,0,0,0,0,0
recognizable,0,1,0,0,0,0,0,0
sprints,0,1,1,0,0,0,0,0
raffles,0,1,0,0,0,0,0,0
diesel,0,1,1,0,0,0,0,0
strangers,0,1,0,0,0,0,0,0
daniel,1,1,0,0,0,0,0,0
medicine,0,1,0,0,0,0,0,3
hogan,0,1,0,0,0,0,0,0
midaugust,0,1,0,0,0,0,0,0
mulled,0,1,0,0,0,0,0,0
renee,0,1,0,0,0,0,0,0
ticket,0,1,2,0,0,0,0,0
refugee,0,1,0,0,0,0,0,0
creates,0,1,1,0,0,0,1,1
renew,0,1,0,0,0,0,0,0
chopped,0,1,0,0,0,0,1,0
organize,0,1,0,0,0,0,0,0
reconnected,0,1,0,0,0,0,0,0
synonymous,0,1,0,0,0,0,0,0
doling,0,1,0,0,0,0,0,0
thick,0,1,2,0,0,0,0,1
timothy,0,1,0,0,0,0,0,0
decomeetsindustrial,0,1,0,0,0,0,0,0
mcgee,0,1,0,0,0,0,0,0
dellingham,0,1,0,0,0,0,0,0
elevator,0,1,0,0,0,0,0,0
observations,0,1,0,0,0,0,0,0
disgorges,0,1,0,0,0,0,0,0
dogs,0,1,0,0,0,0,0,0
grandchildren,0,1,1,0,0,0,0,0
happily,0,1,1,0,0,0,0,0
jingle,0,1,0,0,0,0,0,0
wasted,0,1,0,0,0,0,0,0
toronto,1,1,4,0,0,0,0,0
mercy,1,1,0,0,0,0,0,0
glorified,0,1,0,0,0,0,0,0
tavern,0,1,0,0,0,0,0,0
meteorology,0,1,0,0,0,0,0,0
historical,0,1,0,0,0,0,1,0
enforcement,2,1,0,0,0,3,0,1
navigate,0,1,0,0,1,0,0,0
stalls,0,1,0,0,0,0,0,0
accompany,0,1,0,0,0,0,0,1
contents,0,1,0,0,0,0,1,0
quieter,0,1,0,0,1,0,0,0
realm,0,1,0,0,0,0,0,0
laden,0,1,0,0,0,0,0,0
crinkles,0,1,0,0,0,0,0,0
completed,0,1,1,0,0,0,0,3
bruce,0,1,1,0,0,0,0,0
anatomy,0,1,0,0,0,0,0,0
phase,0,1,0,0,0,0,0,0
mabhiba,0,1,0,0,0,0,0,0
inimaginable,0,1,0,0,0,0,0,0
aunt,0,1,0,0,0,0,0,1
boyfriends,0,1,0,0,0,0,0,0
decidedly,0,1,0,0,0,0,0,0
greenville,0,1,0,0,0,0,0,0
religions,0,1,0,0,0,0,0,1
quench,0,1,0,0,0,0,0,0
enjoyed,0,1,2,0,0,0,1,0
debrisfree,0,1,0,0,0,0,0,0
painfully,0,1,0,0,0,0,0,0
skye,0,1,0,0,0,0,0,0
screening,0,1,0,0,0,0,0,2
personality,0,1,0,0,0,0,0,1
roberta,0,1,0,0,0,0,0,0
tsa,0,1,0,0,0,0,1,0
dr,1,1,1,0,0,3,1,9
runs,1,1,8,0,0,1,3,2
tweeds,0,1,0,0,0,0,0,0
foilwrapped,0,1,0,0,0,0,0,0
steal,0,1,1,0,0,0,0,0
steam,1,1,0,0,0,0,0,0
afterlunch,0,1,0,0,0,0,0,0
checks,1,1,1,0,0,0,0,0
depends,0,1,1,0,0,0,0,0
gaye,0,1,0,0,0,0,0,0
scrutinizing,0,1,0,0,0,0,0,0
mitch,0,1,0,0,0,0,0,0
gentleman,0,1,0,0,0,0,0,0
rushing,0,1,2,0,0,0,0,0
overgrown,0,1,0,0,0,0,0,0
props,0,1,0,0,0,0,0,0
contraband,0,1,0,0,0,0,0,0
handful,0,1,1,0,0,1,0,0
headliners,0,1,0,0,0,0,0,0
unfold,0,1,0,0,0,0,0,0
flashes,0,1,0,0,0,0,0,0
packages,0,1,0,0,0,0,0,0
kitchen,0,1,0,0,1,2,0,1
bras,0,1,0,0,0,0,0,0
climate,0,1,1,0,0,0,2,1
juanita,0,1,0,0,0,0,0,0
lively,0,1,0,0,0,0,0,0
chappelle,0,1,0,0,0,0,0,0
groans,0,1,1,0,0,0,0,0
trunk,0,1,0,0,0,0,0,0
kunyu,0,1,0,0,0,0,0,0
iraq,0,1,0,0,0,1,0,0
engines,0,1,0,0,0,0,0,0
mobilization,0,1,0,0,0,0,0,0
ya,0,1,0,0,0,0,0,0
sachs,0,1,0,0,0,0,0,0
tupelo,0,1,0,0,0,0,0,0
flexible,0,1,0,0,0,0,0,1
dozens,0,1,0,0,0,1,0,0
excite,0,1,0,0,0,0,0,0
inconsolable,0,1,0,0,0,0,0,0
lauderdale,0,1,0,0,0,0,0,0
collects,0,1,0,0,0,0,0,0
nexttolast,0,1,0,0,0,0,0,0
applied,0,1,1,0,0,2,0,3
tide,0,1,0,0,0,0,0,0
stubs,0,1,0,0,0,0,0,0
squawking,0,1,0,0,0,0,0,0
stink,0,1,1,0,0,0,0,0
smorgasbord,0,1,0,0,0,0,0,0
beetles,0,1,0,0,0,0,0,0
descent,0,1,0,0,0,0,0,1
pinstriped,0,1,0,0,0,0,0,0
jerry,0,1,2,0,0,0,0,0
descend,0,1,0,0,0,0,0,0
avoids,0,1,0,0,0,0,0,0
bunny,0,1,0,0,0,0,0,0
fuss,0,1,0,0,0,0,0,0
hana,0,1,0,0,0,0,0,0
rail,0,1,0,0,0,0,0,1
rain,2,1,0,0,0,0,0,0
klips,0,1,0,0,0,0,0,0
venturing,0,1,0,0,0,0,0,0
kept,0,1,0,0,1,1,0,1
kyle,0,1,1,0,0,0,0,0
resettlement,0,1,0,0,0,0,0,0
compartments,0,1,0,0,0,0,0,0
studying,0,1,0,0,0,0,0,0
camps,0,1,0,0,0,1,0,0
unglorifed,0,1,0,0,0,0,0,0
trainer,0,1,0,0,0,0,0,1
quotes,0,1,1,0,0,0,0,1
goggles,0,1,0,0,0,1,0,1
victim,0,1,0,0,0,0,0,0
swears,0,1,0,0,0,0,0,0
adding,0,1,2,0,0,0,1,2
lineman,0,1,0,0,0,0,0,0
joss,0,1,0,0,0,0,0,0
openings,0,1,0,0,0,0,0,1
viking,0,1,0,0,0,0,0,0
capt,0,1,0,0,0,0,0,0
progressed,0,1,1,0,0,0,0,1
celebrates,0,1,0,0,0,0,0,0
injuring,0,1,0,0,0,0,0,0
cape,0,1,0,0,0,0,0,0
kauai,0,1,0,0,0,0,0,0
designers,0,1,0,0,0,0,2,0
retreat,0,1,0,0,0,0,0,0
treelandscaped,0,1,0,0,0,0,0,0
inveraray,0,1,0,0,0,0,0,0
cooled,0,1,0,0,0,0,0,0
sends,2,1,0,0,0,0,0,0
trainee,0,1,0,0,0,0,0,0
hassle,0,1,0,0,0,0,0,0
porthole,0,1,0,0,0,0,0,0
congratulate,0,1,0,0,0,0,0,0
humor,0,1,0,0,0,0,1,0
unavoidable,0,1,0,0,0,0,0,0
festivities,0,1,0,0,0,0,0,0
burchette,0,1,0,0,0,0,0,0
wineries,0,1,0,0,0,0,0,0
peek,0,1,0,0,0,0,0,0
pose,0,1,0,0,0,0,0,0
ply,0,1,0,0,0,0,0,0
graduates,0,1,0,0,0,0,0,0
baha,0,1,0,0,0,0,0,0
peer,0,1,0,0,1,0,0,0
khao,0,1,0,0,0,0,0,0
diner,0,1,0,0,0,0,0,0
newspapers,0,1,0,0,0,0,0,0
situated,0,1,0,0,0,0,0,0
banker,0,1,0,0,0,0,1,0
horizon,0,1,1,0,0,0,0,0
gingerbread,0,1,0,0,0,0,0,0
unabashedly,0,1,0,0,0,0,0,0
profession,0,1,0,0,0,2,0,0
bound,0,1,0,0,0,0,1,0
balances,0,1,0,0,0,0,0,0
wan,0,1,0,0,0,0,0,0
rocksugar,0,1,0,0,0,0,0,0
quirks,0,1,0,0,0,0,0,0
wax,0,1,0,0,0,0,0,0
tints,0,1,0,0,0,0,0,0
snowy,0,1,0,0,0,0,0,0
blearyeyed,0,1,0,0,0,0,0,0
elderly,0,1,0,0,0,1,0,1
absent,0,1,1,0,0,0,0,0
brunswick,0,1,0,0,0,0,0,0
entertainers,0,1,0,0,0,0,0,0
braves,0,1,2,0,0,0,0,0
undefeated,0,1,0,0,0,0,0,0
mtv,0,1,0,0,0,0,0,0
maximum,0,1,0,0,0,3,0,1
emotional,0,1,1,0,0,1,2,2
perks,0,1,0,0,0,0,0,0
potholed,0,1,0,0,0,0,0,0
allday,0,1,0,0,0,0,0,0
guesses,0,1,0,0,0,0,0,0
tesla,0,1,0,0,0,0,0,0
milano,0,1,0,0,0,0,0,0
poolside,0,1,0,0,0,0,0,0
evidence,0,1,1,0,0,0,0,1
guessed,0,1,0,0,0,0,0,0
expertise,0,1,0,0,0,0,0,0
promised,0,1,0,0,0,0,0,0
prayer,0,1,0,0,0,0,0,0
hemsworth,0,1,0,0,0,0,0,0
dying,0,1,0,0,0,2,1,2
handmade,0,1,0,0,0,0,1,0
reality,0,1,1,0,1,0,0,0
test,0,1,1,0,0,2,1,2
alfonzo,0,1,0,0,0,0,0,0
polite,0,1,0,0,0,0,1,0
pirouettes,0,1,0,0,0,0,0,0
detox,0,1,0,0,0,0,0,0
funerals,0,1,0,0,0,0,0,0
collared,0,1,0,0,0,0,0,0
loyal,0,1,1,0,0,0,0,0
tracon,0,1,0,0,0,0,0,0
reception,0,1,0,0,0,0,0,0
switches,0,1,0,0,0,0,0,0
supplement,0,1,1,0,0,0,0,0
fod,0,1,0,0,0,0,0,0
mounted,0,1,0,0,0,0,0,1
zone,0,1,3,0,0,1,1,0
hums,0,1,0,0,0,0,0,0
flash,0,1,0,0,1,4,0,0
aristocratic,0,1,0,0,0,0,0,0
gigi,0,1,0,0,0,0,0,0
glad,0,1,0,0,0,0,0,0
rhythm,0,1,1,0,0,0,0,0
aldermen,0,1,0,0,0,0,0,0
seemingly,0,1,1,0,1,0,0,0
hawgs,0,1,0,0,0,0,0,0
emergencies,0,1,0,0,0,0,0,0
entries,0,1,0,0,0,0,0,0
blast,0,1,1,0,0,2,0,0
presented,1,1,1,0,0,0,0,2
gum,0,1,0,0,0,0,0,0
gus,0,1,0,0,0,0,0,0
bravo,0,1,0,0,0,0,0,0
carville,0,1,0,0,0,0,0,0
cargo,0,1,0,0,0,0,0,0
curse,0,1,1,0,0,0,0,0
barbie,0,1,0,0,0,0,0,0
uniform,0,1,1,0,0,0,1,1
peals,0,1,0,0,0,0,0,0
appeal,1,1,1,0,0,0,0,0
unsure,0,1,0,0,0,0,0,0
peeled,0,1,0,0,0,0,0,0
gawk,0,1,0,0,0,0,0,0
gorge,0,1,0,0,0,0,0,0
teaches,0,1,0,0,0,0,0,1
appears,0,1,1,0,1,3,2,0
sift,0,1,0,0,0,0,0,0
pillow,0,1,0,0,0,0,0,0
plotted,0,1,0,0,0,0,0,0
marked,0,1,1,0,0,0,0,1
sakarya,0,1,0,0,0,0,0,0
nepalese,0,1,0,0,0,1,0,0
rarely,0,1,0,0,0,3,1,0
bury,0,1,0,0,0,0,0,0
irrawaddy,0,1,0,0,0,0,0,0
matador,0,1,0,0,0,0,0,0
chicagoans,0,1,0,0,0,0,0,0
intently,0,1,0,0,0,0,0,1
missionaries,0,1,0,0,0,0,0,0
envelope,0,1,0,0,0,0,0,0
clue,0,1,0,0,0,0,0,1
mansfield,0,1,0,0,0,0,0,0
clumps,0,1,0,0,0,0,0,0
organizations,1,1,1,0,0,2,1,1
catchphrase,0,1,0,0,0,0,0,0
decked,0,1,1,0,0,0,0,0
vito,0,1,0,0,0,0,0,0
labeled,0,1,0,0,0,0,0,1
gathers,0,1,0,0,0,0,0,0
incidents,0,1,0,0,0,0,0,0
cab,1,1,0,0,0,0,0,0
stimulating,0,1,0,0,1,0,0,0
grassy,0,1,0,0,0,0,0,0
hears,0,1,1,0,0,0,0,0
pauses,0,1,0,0,0,0,0,0
yard,0,1,2,0,0,0,0,0
chic,0,1,0,0,1,0,2,0
clothing,0,1,0,0,0,0,1,1
occur,1,1,0,0,0,0,0,0
unwritten,0,1,0,0,0,0,0,0
nonstop,0,1,0,0,0,0,0,0
diva,0,1,0,0,0,0,0,0
produce,0,1,1,0,0,3,2,1
vases,0,1,0,0,0,0,0,0
lifting,0,1,0,0,0,0,0,0
khakis,0,1,0,0,0,0,0,0
tagged,0,1,0,0,0,0,0,0
serving,0,1,0,0,0,0,1,0
indeed,0,1,2,0,0,1,1,0
haircut,0,1,0,0,0,0,0,0
displayed,0,1,0,0,0,0,0,0
coli,0,1,0,0,0,0,0,0
whats,0,1,1,0,0,0,0,1
birds,0,1,0,0,0,0,1,0
rooftop,0,1,0,0,0,0,0,0
curly,0,1,0,0,0,0,0,0
window,0,1,2,0,0,1,1,1
boyfriendgirlfriend,0,1,0,0,0,0,0,0
norway,0,1,0,0,0,0,1,0
feats,0,1,0,0,0,0,0,0
centenary,0,1,0,0,0,0,0,0
halt,0,1,0,0,0,0,0,0
alist,0,1,0,0,0,0,0,0
adrenaline,0,1,0,0,0,0,0,0
flint,0,1,0,0,0,0,0,0
panseared,0,1,0,0,0,0,0,0
layering,0,1,0,0,0,0,0,0
chuckles,0,1,0,0,0,0,0,0
bursts,0,1,0,0,0,0,0,0
concerts,0,1,0,0,0,0,1,0
unloaded,0,1,1,0,0,0,0,0
domain,0,1,0,0,0,0,0,0
challenged,0,1,0,0,0,2,0,0
hurried,0,1,0,0,0,0,0,0
challenges,0,1,0,0,1,0,2,2
teams,0,1,16,0,1,0,0,0
lunching,0,1,0,0,0,0,0,0
fu,0,1,0,0,0,0,0,0
immigrant,0,1,0,0,0,0,0,0
